taxonID,parent,synonymOf,name,authorship,taxonRank,status
8681703,,8077344,Cestrum sparsifolium,Britton,species,homotypic synonym
3801238,,8077344,Cestrum sparsifolium,Britton ex Rusby,species,synonym
3796841,,7300102,Cestrum dielsii,Werderm.,species,synonym
3802892,,7300102,Cestrum humboldtii calycinum,Francey,variety,synonym
3802888,,7300102,Cestrum humboldtii tenuiflorum,Francey,variety,synonym
8028856,,3803114,Cestrum lycioides,Sendtn.,species,heterotypic synonym
3797648,,3803114,Cestrum amygdalifolium,Dunal,species,synonym
3802123,,6403186,Cestrum nutans,Francey,species,synonym
3803183,,6403186,Habrothamnus helleri,Francey,species,synonym
3803372,,6403186,Cestrum elegans longiflorum,Francey,variety,synonym
3803368,,6403186,Cestrum elegans totutla,Dunal,variety,synonym
7714596,,6403186,Cestrum smithii,(Bailey) Fraser & Hemsl.,species,synonym
3801423,,6403186,Cestrum rubrum,hort. ex Francey,species,synonym
3803364,,6403186,Cestrum elegans truncata,Fernald,variety,synonym
7520959,,6403186,Habrothamnus elegans,Brongn.,species,synonym
7979108,,6403186,Habrothamnus elegans,M.Martens & Galeotti,species,synonym
3803199,,6403186,Habrothamnus elegans,Brongn. ex Neumann,species,synonym
3803154,,6403186,Habrothamnus purpureus,Lindl.,species,synonym
3801247,,6403186,Cestrum smithii,(Anon.) Biswas,species,synonym
7475410,,6403186,Cestrum elegans smithii,L.H.Bailey,variety,synonym
12355802,,6403186,Habrothamnus elegans argenteus,B.S.Williams,variety,synonym
8612234,,6403186,Cestrum rubrum,hort.,species,homotypic synonym
3803178,,6403186,Habrothamnus huegelii,Regel,species,synonym
3803162,,3801624,Habrothamnus porphyreus,Seem.,species,synonym
3801426,,3801624,Cestrum roseum,Dunal,species,heterotypic synonym
3802795,,7299223,Cestrum jimenezii,Alain,species,synonym
8236550,,7299223,Cestrum brevifolium microcarpum,O.E.Schulz,variety,synonym
3797329,,7299223,Cestrum brevifolium gracillimum,O.E.Schulz,variety,synonym
3800730,,7299223,Cestrum villosum,Francey,species,synonym
7732111,,7299223,Cestrum villosum gracillimum,O.E.Schulz,variety,synonym
3801546,,6403186,Cestrum purpureum,(Lindl.) Standl.,species,synonym
5581193,,6403186,Meyenia purpurea,(Lindl.) Heynh.,species,synonym
7783679,,6403186,Cestrum smithii,(L.H.Bailey) Coutts,species,synonym
3801916,,3801441,Cestrum papyraceum,Rusby,species,synonym
3797309,,3801441,Cestrum buchtienii,Francey,species,synonym
3803193,,3801441,Cestrum foliosum,Francey,species,synonym
3802346,,3797296,Cestrum melanochloranthum,Pittier,species,synonym
7299964,,3797296,Cestrum parvifolium,Willd. ex Roem. & Schult.,species,synonym
3801839,,3797296,Cestrum parvifolium venezuelense,Francey,variety,synonym
3802304,,3797296,Cestrum microphyllum,Linden ex Dunal,species,synonym
8537016,,3797296,Cestrum parvifolium,Willd.,species,homotypic synonym
3796954,,3797296,Cestrum cuneatum,Francey,species,synonym
8532698,,3797296,Cestrum microphyllum,Linden,species,homotypic synonym
3801846,,3797296,Cestrum parvifolium macrocalyx,Francey,variety,synonym
8180857,,3797296,Cestrum melanochloranthum,Dunal,species,synonym
3801487,,7299914,Cestrum reflexum densiflorum,Francey,variety,synonym
3800884,,7299914,Cestrum ulei,Dammer ex Ule,species,synonym
8276608,,7299914,Cestrum ulei,Dammer,species,synonym
3803211,,7299914,Cestrum floribundum,Britton ex Rusby,species,synonym
7299837,,3802151,Cestrum terminale,Francey,species,heterotypic synonym
3801002,,3802151,Cestrum terminale latifolium,Francey,variety,synonym
3801298,,3803321,Cestrum sellowianum,Sendtn.,species,synonym
3801592,,3803321,Cestrum pseudoquina,Mart.,species,synonym
9163343,,3803321,Cestrum sellovianum,Sendtn.,species,synonym
3796915,,2928788,Cestrum daphnoides laxiflorum,O.E.Schulz,variety,synonym
3797276,,7299208,Cestrum buxoides lucens,Borhidi & O.Muñiz,variety,synonym
7300179,,7300178,Cestrum falcatum falcatum,,variety,synonym
3803297,,7300178,Cestrum falcatum soukupii,J.F.Macbr.,variety,synonym
3801364,,7299898,Cestrum santanderianum smithii,Francey,variety,synonym
8462053,,7299165,Cestrum reticulatum,Willd.,species,homotypic synonym
7779510,,7299165,Cestrum conglomeratum simulans,J.F.Macbr.,variety,synonym
11229700,,7299165,Cestrum conglomeratum,Kunth,species,synonym
8303173,,7299165,Cestrum reticulatum,Willd. ex Roem. & Schult.,species,heterotypic synonym
3803344,,7299165,Cestrum ellipticum,Francey,species,synonym
3797391,,7299165,Cestrum bolivianum,Francey,species,synonym
9757160,,7299165,Cestrum coriaceum,Rusby,species,heterotypic synonym
3797022,,7299165,Cestrum conglomeratum similans,J.F.Macbr.,variety,synonym
3797029,,7299165,Cestrum conglomeratum kunthii,Dunal,variety,synonym
3800905,,,Cestrum tuerckheimii laxius,"O.E.Schulz ex O.C.Schmidt, 1933",variety,accepted
7299826,,,Cestrum tuerckheimii tuerckheimii,,variety,accepted
8008143,,7299825,Cestrum tuerckheimii laxius,O.E.Schulz,variety,synonym
3801190,,3803330,Cestrum standleyi,Francey,species,synonym
3796940,,7299153,Cestrum cuneifolium multinervium,Francey,variety,synonym
3803131,,3796750,Cestrum fuertesii,O.E.Schulz,species,synonym
3796757,,3796750,Cestrum dolichopus,Urb. & Ekman,species,synonym
3800758,,3800649,Leptofeddea lomana,Diels,species,synonym
12388988,,3800649,Salpiglossis acutiloba,I.M.Johnst.,species,proparte synonym
3798815,,3800649,Salpiglossis lomana,(Diels) J.F.Macbr.,species,synonym
12388987,,3800649,Stimomphis linearis,(Hook.) Raf.,species,proparte synonym
12388989,,3800649,Leptoglossis acutiloba,(I.M.Johnst.) Hunz. & Subils,species,proparte synonym
3798827,,3800649,Salpiglossis linearis,I.M.Johnst.,species,heterotypic synonym
3802404,,3797019,Cestrum magnifolium,Francey,species,synonym
7300129,,3797019,Cestrum grandistipulum,Sendtn.,species,synonym
8554851,,3797019,Cestrum grandistipulatum,Schott,species,homotypic synonym
7887544,,3797019,Cestrum grandistipulatum,Schott ex Sendtn.,species,synonym
8624220,,3797016,Cestrum cordatum,Schott,species,homotypic synonym
7299847,,3801038,Cestrum subuniflorum,Dunal,species,synonym
3801078,,3801038,Cestrum subuniflorum seminudum,Dunal,variety,synonym
8475654,,3801505,Cestrum ramosissimum,Nocca,species,homotypic synonym
7850905,,3801038,Cestrum pauciflorum,Nees & Mart.,species,heterotypic synonym
7690880,,3797806,Cestrum acutifolium glabrius,Alain,variety,synonym
3797199,,7841011,Cestrum campanulatum,Francey,species,heterotypic synonym
8514567,,3797504,Cestrum hediunda,Matr.,species,homotypic synonym
3802971,,3797504,Cestrum hediunda,Lam.,species,synonym
8520781,,3797504,Cestrum lucidum,Pav.,species,homotypic synonym
8018752,,3797504,Cestrum lucidum,Pav. ex Dunal,species,heterotypic synonym
7660477,,3797504,Cestrum hediunda,Matr. ex Dunal,species,synonym
8571770,,3797504,Cestrum auriculatum,Ruiz & Pav.,species,proparte synonym
7645661,,3797504,Cestrum diurnum,Dombey ex Dunal,species,heterotypic synonym
3803198,,3797504,Cestrum foetidum,Salisb.,species,heterotypic synonym
7300054,,3797504,Cestrum leptanthum,Dunal,species,synonym
7399262,,3797504,Cestrum affine,Pers.,species,heterotypic synonym
3802551,,3797504,Cestrum leptanthum micranthum,Dunal,variety,synonym
3802557,,3797504,Cestrum leptanthum majus,Dunal,variety,synonym
3802649,,3797504,Cestrum lasianthum,Dunal,species,synonym
3802966,,3797504,Cestrum hediundinum,Dunal,species,synonym
8555446,,3797504,Cestrum diurnum,Dombey,species,homotypic synonym
7486210,,3797504,Cestrum serratum,Dunal,species,synonym
3797381,,3797504,Cestrum bonariense,Dunal,species,synonym
3801868,,2928792,Cestrum parqui oranense,Scolnik,variety,synonym
7964784,,2928792,Cestrum parqui ovalifolium,Herter,variety,synonym
3801881,,2928792,Cestrum parqui glabriusculum,Kuntze,variety,synonym
3803207,,2928792,Cestrum foetidissimum,Jacq.,species,synonym
3801668,,2928792,Cestrum plicatum,Francey,species,synonym
3801865,,2928792,Cestrum parqui poeppigii,(Schltr.) Dunal,variety,synonym
3801381,,2928792,Cestrum salicifolium angustifolium,Dunal,variety,proparte synonym
7610459,,2928792,Cestrum jamaicense parqui,Lam.,variety,synonym
8291856,,2928792,Cestrum salicifolium,Dunal,species,synonym
8070519,,2928792,Cestrum salicifolium,Kunth ex Spreng.,species,heterotypic synonym
3800709,,2928792,Cestrum virgatum,Ruiz & Pav.,species,synonym
3797194,,2928792,Cestrum campestre,Griseb.,species,synonym
8130809,,2928792,Cestrum parqui spurinum,Dunal,variety,synonym
3801200,,2928792,Cestrum spurium,Dunal,species,synonym
7508871,,2928792,Cestrum parqui heterophyllum,Kuntze,form,synonym
8412754,,2928792,Cestrum cyanodontum,Rusby,species,synonym
7380280,,2928792,Cestrum parqui tomentostipes,Kuntze,variety,synonym
7650785,,2928792,Cestrum parqui spurium,Dunal,variety,synonym
3801861,,2928792,Cestrum parqui tomentistipes,Kuntze,variety,synonym
3803088,,2928792,Cestrum glaucescens,Sendtn.,species,synonym
3801873,,2928792,Cestrum parqui macrocalyx,Francey,variety,synonym
8515046,,2928792,Cestrum salicifolium,Kunth,species,homotypic synonym
8199855,,2928792,Cestrum poeppigii,Schltdl.,species,heterotypic synonym
3797802,,2928792,Cestrum adelbertii,Bakh.fil.,species,synonym
8395907,,2928792,Cestrum mandonii,Rusby,species,synonym
3801878,,2928792,Cestrum parqui longiflorum,Francey,variety,synonym
8676113,,3801824,Cestrum pauciflorum,Willd.,species,homotypic synonym
3803275,,3801824,Cestrum fasciculiflorum,Taub.,species,synonym
8137009,,2928792,Cestrum parqui,(Lam.) L,species,synonym
3800637,,3801824,Cestrum willdenowii,Steud.,species,synonym
3801678,,3803095,Cestrum pittieri,Francey,species,synonym
8592956,,3803095,Cestrum glanduliferum,Kerber,species,homotypic synonym
3802078,,7299996,Cestrum ochraceum macrophyllum,Francey,variety,synonym
3801710,,7299996,Cestrum petiolatum,Francey,species,synonym
3796972,,7299996,Cestrum crassinervium,Francey,species,synonym
7621029,,8401322,Cestrum diurnum,Kunth,species,heterotypic synonym
8664850,,7300153,Cestrum fragile grandiflorum,C.V.Morton,variety,homotypic synonym
3803169,,7300153,Cestrum fragile grandiflorum,C.V.Morton ex Standl.,variety,synonym
3801324,,3797007,Cestrum schottii,Pohl ex Sendtn.,species,synonym
8643792,,3797007,Cestrum schottii,Pohl,species,homotypic synonym
7857831,,7801068,Cestrum terminale,Dunal,species,heterotypic synonym
3796833,,7801068,Cestrum discolor,Dunal,species,synonym
3800995,,7801068,Cestrum terminale parvifolium,Dunal,variety,synonym
3802841,,7801068,Cestrum involucratum,Dunal,species,synonym
3797061,,7801068,Cestrum confertiflorum,Schltdl.,species,synonym
3801735,,7801068,Cestrum persicifolium,Dunal,species,synonym
8012642,,7801068,Cestrum parqui,Benth.,species,heterotypic synonym
3801576,,3802492,Cestrum pubens,Griseb.,species,synonym
