uuid,code,name,country,altCodes
13e48177-26e1-49b6-94ec-7c2ff011d328,MOLF,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PE,[]
3580122b-4a80-47e7-8cd1-e1e8db5cd6bd,HBEI,Fundação Universidade Federal do Pampa,BR,[]
b989d490-cc82-4678-a8fd-976bd4dc5bad,BOTP,University of Peradeniya,LK,[]
fe28234f-ec6a-4979-8d58-0535d4988618,SCPNCH,The Nature Center at Steele Creek Park,US,[]
bb52d06b-a9ed-4b9c-866c-fd6c757ea9b0,NKM,Naturkundemuseum Niebüll,DE,[]
7de7d8d6-b486-4896-b4b9-986ba97709e0,OUHC,Oakland University,,[]
3ec0b21f-17b2-4814-acc1-808d35024a23,NCK,"The New College, Kolhapur",IN,[]
b24a9eb5-7501-4b7a-8e84-8b5735aface9,GCABBT,Government Post Graduate College No. 1 Abbottabad,PK,[]
9250e18c-ccb3-4e06-8bcc-2298250cefe7,TNU,Tajik National University,TJ,[]
bcab56ae-0468-40f1-84af-eb6a5270113b,TPU,Tajik State Pedagogical University after named S. Aini,TJ,[]
46468870-c6a4-42e2-a6b8-8320ee5030c8,Herbarium Khatlon Scientific Center  Kulob,"Khatlon Scientific Center of the National Academy of Sciences of Tajikistan, Kulob",TJ,[]
a2561001-476a-4aa3-a741-a68d4feaf094,CNR-IBBR,"Consiglio Nazionale delle Ricerche, Istituto di BioScienze e BioRisorse",IT,[]
c40e8d01-a969-4fe0-b827-c69679ab42db,MBA,Marine Biological Association,GB,[]
35a10a88-03b2-48db-8284-6566a132de33,IBS-UEPB,Instituto de Biologia de Solo,BR,"['LSCC', 'CRFS']"
9b720da7-9a47-4c82-a9c5-48d2b6b748ce,LASU,Lagos State University,NG,[]
f16f04d2-b590-466a-aebd-b61112962311,NSUK,Nasarawa State University Keffi,NG,[]
53393219-bea0-4c2f-8847-daf0c69b164e,NAU,Nnamdi Azikiwe University,NG,[]
2678c7a4-bc0b-445f-b377-fc346547ad70,UC,University of Calabar,NG,['UNICAL']
012fbec2-1c94-40ce-b52a-450496d77b28,OMO,Otaru Museum,JP,[]
ac3fca3d-6c3f-416e-bb02-862d64d9fef1,IFSH,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais - IFSULDEMINAS - Campus Inconfidentes",BR,[]
